"1", "28", "2011-05-25", "23", "Ruidos molestos, insultos, etc.", "-34.8998789963002", "-54.968204498291016", "38", "Alondras y Ñandú", "casi Ñandu"
"2", "27", "2011-05-25", "15", "Calles con pozos y deterioro en cordón cuneta presencia de agua servida que corre", "-34.89385126286281", "-54.93721961975098", "62", "FRANCISCO MORENO", " Agapito Parabera y Justicia"
"3", "7", "2011-05-26", "28", "Hace algún tiempo, varios meses hice un planteo para algunos arreglos y mejoras en la Plaza de Barrio Norte, donde se encuentra la parada de taxi. Allí existen algunos juegos \"rotos\" otros en sensible mal estado y además la limpieza deja mucho que desear. A su vez propuse mejorar la plaza de juegos, con algún juego repetido del jaguel y otros comentarios. Me contestaron casi enseguida, me dejaron un número de orden de servicio, que no recuerdo, pero nunca se hizo nada. Hoy escribo nuevamente para ver si se puede hacer algo.Hugo Núñez CI 4.006.537-3 Cel. 094 380306", "-34.90932888787036", "-54.957738518714905", "11", "Wilson Ferreira Aldunate", "Parada de Taxi"
"4", "6", "2011-05-26", "17", " solicita bajar rampa que construyo la intendencia quedo muy alta y no sube el auto x que toca abajo ", "-34.90932888787036", "-54.957738518714905", "62", "libertad y bambu ", "agapito paravera y justicia"
"5", "5", "2011-05-26", "8", "faltan 2 tapas", "-34.90932888787036", "-54.957738518714905", "50", "scarone y masheroni", "en la esquina"
"6", "2", "2011-05-26", "3", "2 focos de luz que no prenden", "-34.89180965287085", "-54.967710971832275", "48", "Francisco Jurado ", "Etchury y Carsin"
"7", "4", "2011-05-26", "22", "retiro de podas diversas", "-34.88972399027589", "-54.97029662132263", "48", "Granja Ferreiro", "Anfuso y Jurado"
"8", "3", "2011-05-26", "28", "A quien corresponda,primero quiero felicitar al municipio por generar este espacio para el vecino.El motivo de mi preocupacion es por vivir en la zona de piedra del chileno,y convivir todos los dias con la laguna del diario.Esta realmente ya esta muriendo desde hace muchos años y  es indignante que nuestra comunidad no haga lo suficiente por recuperarla.lei por ahi que antes tenia 165 hectareas y ahora tiene alrededor de 50,se esta transformando en un pantano.ES que no se puede creer que un balneareo como punta del este, que supuestamente vende naturaleza tenga nada menos que en su entrada este problema que en realidad esta disfrasado con unas maquinas que se pasan y sacan las algas que se ven de la ruta.hay que recordar que esta no solo es importante por la belleza del espejo de agua.Sino que existe alli una reserva de aves importante.sumado a esto en la zona oeste de esta,hace aproximadamente un par de años traen camiones con relleno a un par de terrenos que dan a la laguna,cabe aclarar que hablamos de cientos de viajes que obiamente deben estar ganandole espacio a la laguna.Hoy justamente un dia en el cual estuvieron todo el dia trayendo arena desde un nuevo edificio que van a hacer en la avenida figueroa.Bueno en este tipo de problemas seguramente todos tenemos responsabilidades,pero las autoridades tendrian que hacer los controles necesarios para que esto no ocurra.Yo personalmente estoy alarmado por el deterioro ambiental que este boom de la construccion le esta haciendo a nuestra zona,me gustaria poder hacer algo para que mis hijos puedan disfrutar de lo que le queda a nuestra departamento.me pongo a dispocicion para sumar en lo que este mi alcance.pero a las autoridades les pido que hagan algo.bueno espero tener respuesta y ojala que este equivocado y ya este la solucion a este problema.Un saludo   javier gonzalez", "-34.90430491889555", "-55.00871658325195", "76", "brisa marina  sin numero", "pigmaleon y lazarillo de tormes"
"9", "1", "2011-05-26", "3", "tenemos un foco \"quemado\" calle pasteur entre voltaire y rousseau. pque del golf. a media cuadra del complejo deportivo IUAInstituto Uruguayo Argentino.", "-34.92577121781642", "-54.91971015930176", "1", "pasteur", "voltaire y rousseau"
"10", "21", "2011-05-27", "15", "Agradecería repararan a la brevedad la Avenida Principal y la calle El Foque desde esta última hacia el mar. Al menos son las calles que a diario transito y están con muchos pozos. El Foque quedó en mal estado desde que OSE hizo las conexiones de agua.A modo de sugerencia, en el gobieno del sr. Antía, parecía haber un convenio con el batallón de Ingenieros, quienes todos los meses hacían un mantenimiento, por lo menos de la Avenida que es la mas transitada sobre todo por los camiones que llevan arena, lo que evitaba el mayor deterioro de la vía. ", "-34.87487641506376", "-55.087337493896484", "21", "Av. Principal y El Foque", "La Playa y la ruta interbalnearia"
"11", "8", "2011-05-27", "5", "basural en la calle", "-34.90932888787036", "-54.957738518714905", "1", "gomez fonceca", "leonardo olivera"
